movie_title,imdb_score,title_year
Days of Thunder ,5.9,1990.0
Cheaper by the Dozen 2 ,5.4,2005.0
The Scorch Trials ,6.4,2015.0
Eat Pray Love ,5.7,2010.0
The Family Man ,6.7,2000.0
RED ,7.1,2010.0
Any Given Sunday ,6.8,1999.0
The Horse Whisperer ,6.5,1998.0
Collateral ,7.6,2004.0
The Scorpion King ,5.5,2002.0
Ladder 49 ,6.5,2004.0
Jack Reacher ,7.0,2012.0
Deep Blue Sea ,5.8,1999.0
This Is It ,7.3,2009.0
Contagion ,6.6,2011.0
Kangaroo Jack ,4.4,2003.0
Coraline ,7.7,2009.0
The Happening ,5.0,2008.0
Man on Fire ,7.7,2004.0
The Shaggy Dog ,4.4,2006.0
Starsky & Hutch ,6.1,2004.0
Jingle All the Way ,5.4,1996.0
Hellboy ,6.8,2004.0
A Civil Action ,6.5,1998.0
ParaNorman ,7.0,2012.0
The Jackal ,6.3,1997.0
Paycheck ,6.3,2003.0
Up Close & Personal ,6.1,1996.0
The Tale of Despereaux ,6.1,2008.0
Rules of Engagement             ,7.3,
The Tuxedo ,5.3,2002.0
Under Siege 2: Dark Territory ,5.4,1995.0
Jack Ryan: Shadow Recruit ,6.2,2014.0
Joy ,6.6,2015.0
London Has Fallen ,5.9,2016.0
Alien: Resurrection ,6.3,1997.0
Shooter ,7.2,2007.0
The Boxtrolls ,6.8,2014.0
Practical Magic ,6.1,1998.0
The Lego Movie ,7.8,2014.0
Miss Congeniality 2: Armed and Fabulous ,5.0,2005.0
Reign of Fire ,6.2,2002.0
Gangster Squad ,6.7,2013.0
Year One ,4.9,2009.0
Invictus ,7.4,2009.0
State of Play ,7.1,2009.0
Duplicity ,6.2,2009.0
My Favorite Martian ,4.9,1999.0
The Sentinel ,6.1,2006.0
Planet 51 ,6.1,2009.0
Star Trek: Nemesis ,6.4,2002.0
Intolerable Cruelty ,6.3,2003.0
Trouble with the Curve ,6.8,2012.0
Edge of Darkness ,6.6,2010.0
The Relic ,5.7,1997.0
Analyze That ,5.9,2002.0
Righteous Kill ,6.0,2008.0
Mercury Rising ,6.1,1998.0
The Soloist ,6.7,2009.0
The Legend of Bagger Vance ,6.7,2000.0
Almost Famous ,7.9,2000.0
Garfield 2 ,5.0,2006.0
xXx: State of the Union ,4.3,2005.0
Priest ,5.7,2011.0
Sinbad: Legend of the Seven Seas ,6.7,2003.0
Event Horizon ,6.7,1997.0
The Avengers ,8.1,2012.0
Dragonfly ,6.1,2002.0
The Black Dahlia ,5.6,2006.0
Flyboys ,6.6,2006.0
The Last Castle ,6.9,2001.0
Supernova ,4.8,2000.0
Winter's Tale ,6.2,2014.0
The Mortal Instruments: City of Bones ,6.0,2013.0
Meet Dave ,4.9,2008.0
Dark Water ,5.6,2005.0
Edtv ,6.1,1999.0
Inkheart ,6.1,2008.0
The Spirit ,4.8,2008.0
Mortdecai ,5.5,2015.0
In the Name of the King: A Dungeon Siege Tale ,3.8,2007.0
Beyond Borders ,6.5,2003.0
Xi you ji zhi: Sun Wukong san da Baigu Jing ,6.0,2016.0
The Great Raid ,6.7,2005.0
Deadpool ,8.1,2016.0
Holy Man ,4.9,1998.0
American Sniper ,7.3,2014.0
Goosebumps ,6.4,2015.0
"Sabrina, the Teenage Witch             ",6.6,
Just Like Heaven ,6.7,2005.0
The Flintstones in Viva Rock Vegas ,3.6,2000.0
Rambo III ,5.7,1988.0
Leatherheads ,6.0,2008.0
The Ridiculous 6 ,4.9,2015.0
Did You Hear About the Morgans? ,4.7,2009.0
The Internship ,6.3,2013.0
Resident Evil: Afterlife ,5.9,2010.0
Red Tails ,5.9,2012.0
Sex and the City             ,7.0,
The Devil's Advocate ,7.5,1997.0
That's My Boy ,5.6,2012.0
DragonHeart ,6.4,1996.0
After the Sunset ,6.3,2004.0
Ghost Rider: Spirit of Vengeance ,4.3,2011.0
Captain Corelli's Mandolin ,5.9,2001.0
Anger Management             ,6.7,
The Pacifier ,5.5,2005.0
Walking Tall ,6.2,2004.0
Forrest Gump ,8.8,1994.0
Alvin and the Chipmunks ,5.2,2007.0
Meet the Parents ,7.0,2000.0
Pocahontas ,6.6,1995.0
Superman ,7.3,1978.0
The Nutty Professor ,5.6,1996.0
Hitch ,6.6,2005.0
George of the Jungle ,5.4,1997.0
American Wedding ,6.3,2003.0
Captain Phillips ,7.9,2013.0
Date Night ,6.3,2010.0
Casper ,6.0,1995.0
The Equalizer ,7.2,2014.0
Maid in Manhattan ,5.1,2002.0
Crimson Tide ,7.3,1995.0
The Pursuit of Happyness ,8.0,2006.0
Flightplan ,6.2,2005.0
Disclosure ,6.0,1994.0
City of Angels ,6.7,1998.0
Kill Bill: Vol. 1 ,8.1,2003.0
Bowfinger ,6.4,1999.0
Stargate SG-1             ,8.4,
Kill Bill: Vol. 2 ,8.0,2004.0
Tango & Cash ,6.3,1989.0
Death Becomes Her ,6.4,1992.0
Shanghai Noon ,6.6,2000.0
Executive Decision ,6.4,1996.0
Mr. Popper's Penguins ,6.0,2011.0
The Forbidden Kingdom ,6.6,2008.0
Free Birds ,5.9,2013.0
Alien 3 ,6.4,1992.0
Evita ,6.3,1996.0
Ronin ,7.3,1998.0
The Ghost and the Darkness ,6.8,1996.0
Paddington ,7.2,2014.0
The Watch ,5.7,2012.0
The Hunted ,6.0,2003.0
Instinct ,6.5,1999.0
Stuck on You ,5.8,2003.0
Semi-Pro ,5.8,2008.0
The Pirates! Band of Misfits ,6.7,2012.0
Changeling ,7.8,2008.0
Chain Reaction ,5.6,1996.0
The Fan ,5.8,1996.0
The Phantom of the Opera ,7.4,2004.0
Elizabeth: The Golden Age ,6.9,2007.0
Æon Flux ,5.5,2005.0
Gods and Generals ,6.3,2003.0
Turbulence ,4.7,1997.0
Imagine That ,5.6,2009.0
Muppets Most Wanted ,6.4,2014.0
Thunderbirds ,4.2,2004.0
Burlesque ,6.4,2010.0
A Very Long Engagement ,7.7,2004.0
Lolita ,7.7,1962.0
Eye See You ,5.3,2002.0
Blade II ,6.7,2002.0
Seven Pounds ,7.7,2008.0
Bullet to the Head ,5.7,2012.0
The Godfather: Part III ,7.6,1990.0
Elizabethtown ,6.4,2005.0
"You, Me and Dupree ",5.6,2006.0
Superman II ,6.8,1980.0
Gigli ,2.4,2003.0
All the King's Men ,6.2,2006.0
Shaft ,5.9,2000.0
Anastasia ,7.1,1997.0
Moulin Rouge! ,7.6,2001.0
Domestic Disturbance ,5.5,2001.0
Black Mass ,7.0,2015.0
Flags of Our Fathers ,7.1,2006.0
Law Abiding Citizen ,7.4,2009.0
Grindhouse ,7.6,2007.0
Beloved ,5.9,1998.0
Lucky You ,5.9,2007.0
Catch Me If You Can ,8.0,2002.0
Zero Dark Thirty ,7.4,2012.0
The Break-Up ,5.8,2006.0
Mamma Mia! ,6.3,2008.0
Valentine's Day ,5.7,2010.0
The Dukes of Hazzard ,5.1,2005.0
The Thin Red Line ,7.6,1998.0
The Change-Up ,6.4,2011.0
Man on the Moon ,7.4,1999.0
Casino ,8.2,1995.0
From Paris with Love ,6.5,2010.0
Bulletproof Monk ,5.5,2003.0
"Me, Myself & Irene ",6.5,2000.0
Barnyard ,5.6,2006.0
Deck the Halls ,4.9,2006.0
The Twilight Saga: New Moon ,4.6,2009.0
Shrek ,7.9,2001.0
The Adjustment Bureau ,7.1,2011.0
Robin Hood: Prince of Thieves ,6.9,1991.0
Jerry Maguire ,7.3,1996.0
Ted ,7.0,2012.0
As Good as It Gets ,7.7,1997.0
Patch Adams ,6.7,1998.0
Anchorman 2: The Legend Continues ,6.3,2013.0
Mr. Deeds ,5.8,2002.0
Super 8 ,7.1,2011.0
Erin Brockovich ,7.3,2000.0
How to Lose a Guy in 10 Days ,6.4,2003.0
22 Jump Street ,7.1,2014.0
Interview with the Vampire: The Vampire Chronicles ,7.6,1994.0
Yes Man ,6.8,2008.0
Central Intelligence ,6.6,2016.0
Stepmom ,6.7,1998.0
Daddy's Home ,6.1,2015.0
Into the Woods ,6.0,2014.0
Inside Man ,7.6,2006.0
Payback ,7.1,1999.0
Congo ,5.0,1995.0
We Bought a Zoo ,7.1,2011.0
Knowing ,6.2,2009.0
Failure to Launch ,5.6,2006.0
The Ring Two ,5.4,2005.0
"Crazy, Stupid, Love. ",7.4,2011.0
Garfield ,5.0,2004.0
Christmas with the Kranks ,5.2,2004.0
Moneyball ,7.6,2011.0
Outbreak ,6.6,1995.0
Non-Stop ,7.0,2014.0
Race to Witch Mountain ,5.7,2009.0
V for Vendetta ,8.2,2005.0
Shanghai Knights ,6.2,2003.0
Unforgotten             ,7.9,
Curious George ,6.6,2006.0
Herbie Fully Loaded ,4.7,2005.0
Don't Say a Word ,6.3,2001.0
Hansel & Gretel: Witch Hunters ,6.1,2013.0
Unfaithful ,6.7,2002.0
I Am Number Four ,6.1,2011.0
Syriana ,7.0,2005.0
13 Hours ,7.4,2016.0
The Book of Life ,7.3,2014.0
Firewall ,5.8,2006.0
Absolute Power ,6.7,1997.0
G.I. Jane ,5.8,1997.0
The Game ,7.8,1997.0
Silent Hill ,6.6,2006.0
The Replacements ,6.5,2000.0
American Reunion ,6.7,2012.0
The Negotiator ,7.3,1998.0
Into the Storm ,5.8,2014.0
Beverly Hills Cop III ,5.5,1994.0
Gremlins 2: The New Batch ,6.3,1990.0
The Judge ,7.4,2014.0
The Peacemaker ,5.9,1997.0
Resident Evil: Apocalypse ,6.2,2004.0
Bridget Jones: The Edge of Reason ,5.9,2004.0
Out of Time ,6.5,2003.0
On Deadly Ground ,4.4,1994.0
The Adventures of Sharkboy and Lavagirl 3-D ,3.5,2005.0
The Beach ,6.6,2000.0
Raising Helen ,6.0,2004.0
Ninja Assassin ,6.4,2009.0
For Love of the Game ,6.5,1999.0
A Touch of Frost             ,7.8,
Striptease ,4.3,1996.0
Marmaduke ,4.2,2010.0
Hereafter ,6.5,2010.0
Murder by Numbers ,6.1,2002.0
Assassins ,6.3,1995.0
Hannibal Rising ,6.2,2007.0
The Story of Us ,5.9,1999.0
The Host ,5.9,2013.0
Basic ,6.5,2003.0
Blood Work ,6.4,2002.0
The International ,6.5,2009.0
Escape from L.A. ,5.7,1996.0
Twisted             ,7.5,
The Iron Giant ,8.0,1999.0
The Life Aquatic with Steve Zissou ,7.3,2004.0
Free State of Jones ,6.7,2016.0
The Life of David Gale ,7.5,2003.0
Man of the House ,5.4,2005.0
Run All Night ,6.6,2015.0
Eastern Promises ,7.7,2007.0
Into the Blue ,5.8,2005.0
The Messenger: The Story of Joan of Arc ,6.4,1999.0
Your Highness ,5.6,2011.0
Dream House ,6.0,2011.0
Mad City ,6.2,1997.0
Baby's Day Out ,5.9,1994.0
The Scarlet Letter ,5.1,1995.0
Fair Game ,6.8,2010.0
Defiance             ,7.0,
Domino ,6.0,2005.0
Jade ,5.1,1995.0
Gamer ,5.8,2009.0
Beautiful Creatures ,6.2,2013.0
Death to Smoochy ,6.4,2002.0
Zoolander 2 ,4.8,2016.0
The Big Bounce ,4.9,2004.0
What Planet Are You From? ,5.6,2000.0
Drive Angry ,5.5,2011.0
Street Fighter: The Legend of Chun-Li ,3.7,2009.0
The One ,5.9,2001.0
Outlander             ,8.5,
The Adventures of Ford Fairlane ,6.3,1990.0
Pirate Radio ,7.4,2009.0
Traffic ,7.6,2000.0
Indiana Jones and the Last Crusade ,8.3,1989.0
Anna Karenina ,6.6,2012.0
Chappie ,6.9,2015.0
The Bone Collector ,6.7,1999.0
Panic Room ,6.8,2002.0
The Tooth Fairy ,4.6,2006.0
Three Kings ,7.1,1999.0
Child 44 ,6.4,2015.0
Rat Race ,6.4,2001.0
K-PAX ,7.4,2001.0
Kate & Leopold ,6.4,2001.0
Bedazzled ,6.0,2000.0
The Cotton Club ,6.5,1984.0
3:10 to Yuma ,7.8,2007.0
Taken 3 ,6.0,2014.0
Out of Sight ,7.0,1998.0
The Cable Guy ,6.0,1996.0
Earth ,7.8,1998.0
Dick Tracy ,6.1,1990.0
The Thomas Crown Affair ,6.8,1999.0
Riding in Cars with Boys ,6.4,2001.0
First Blood ,7.7,1982.0
Solaris ,8.1,1972.0
Happily N'Ever After ,4.5,2006.0
Mary Reilly ,5.8,1996.0
My Best Friend's Wedding ,6.3,1997.0
America's Sweethearts ,5.7,2001.0
Insomnia ,7.2,2002.0
Star Trek: First Contact ,7.6,1996.0
Jonah Hex ,4.7,2010.0
Courage Under Fire ,6.6,1996.0
Liar Liar ,6.8,1997.0
The Infiltrator ,7.3,2016.0
Inchon ,2.7,1981.0
The Flintstones ,4.8,1994.0
Taken 2 ,6.3,2012.0
Scary Movie 3 ,5.5,2003.0
Miss Congeniality ,6.2,2000.0
Journey to the Center of the Earth ,5.8,2008.0
The Princess Diaries 2: Royal Engagement ,5.7,2004.0
The Pelican Brief ,6.5,1993.0
The Client ,6.7,1994.0
The Bucket List ,7.4,2007.0
Patriot Games ,6.9,1992.0
Monster-in-Law ,5.5,2005.0
Prisoners ,8.1,2013.0
Training Day ,7.7,2001.0
Galaxy Quest ,7.3,1999.0
Scary Movie 2 ,5.2,2001.0
The Muppets ,7.1,2011.0
Blade ,7.1,1998.0
Coach Carter ,7.2,2005.0
Changing Lanes ,6.5,2002.0
Anaconda ,4.6,1997.0
Coyote Ugly ,5.6,2000.0
Love Actually ,7.7,2003.0
A Bug's Life ,7.2,1998.0
From Hell ,6.8,2001.0
The Specialist ,5.4,1994.0
Tin Cup ,6.3,1996.0
"Yours, Mine and Ours ",7.2,1968.0
Kicking & Screaming ,5.6,2005.0
The Hitchhiker's Guide to the Galaxy ,6.8,2005.0
Fat Albert ,4.3,2004.0
Resident Evil: Extinction ,6.3,2007.0
Blended ,6.5,2014.0
Last Holiday ,6.4,2006.0
The River Wild ,6.3,1994.0
The Indian in the Cupboard ,5.9,1995.0
Savages ,6.5,2012.0
Cellular ,6.5,2004.0
Johnny English ,6.1,2003.0
The Ant Bully ,5.9,2006.0
Dune ,6.6,1984.0
Across the Universe ,7.4,2007.0
Revolutionary Road ,7.3,2008.0
16 Blocks ,6.6,2006.0
Babylon A.D. ,5.6,2008.0
The Glimmer Man ,5.3,1996.0
Multiplicity ,6.0,1996.0
Aliens in the Attic ,5.4,2009.0
The Pledge ,6.8,2001.0
The Producers ,6.4,2005.0
Dredd ,7.1,2012.0
The Phantom ,4.9,1996.0
All the Pretty Horses ,5.8,2000.0
Nixon ,7.1,1995.0
The Ghost Writer ,7.2,2010.0
Deep Rising ,6.0,1998.0
Miracle at St. Anna ,6.0,2008.0
Curse of the Golden Flower ,7.0,2006.0
Bangkok Dangerous ,5.4,2008.0
Big Trouble ,6.5,2002.0
Love in the Time of Cholera ,6.4,2007.0
The Returned             ,8.3,
Shadow Conspiracy ,4.9,1997.0
Johnny English Reborn ,6.3,2011.0
Foodfight! ,1.7,2012.0
Argo ,7.7,2012.0
The Fugitive ,7.8,1993.0
The Bounty Hunter ,5.5,2010.0
Sleepers ,7.5,1996.0
Rambo: First Blood Part II ,6.4,1985.0
The Juror ,5.6,1996.0
Pinocchio ,7.5,1940.0
Heaven's Gate ,6.8,1980.0
Underworld: Evolution ,6.8,2006.0
Victor Frankenstein ,6.0,2015.0
Finding Forrester ,7.3,2000.0
28 Days ,6.0,2000.0
Unleashed ,7.0,2005.0
The Sweetest Thing ,5.1,2002.0
The Firm ,6.8,1993.0
Charlie St. Cloud ,6.5,2010.0
The Mechanic ,6.6,2011.0
21 Jump Street ,7.2,2012.0
Notting Hill ,7.0,1999.0
Chicken Run ,7.0,2000.0
Along Came Polly ,5.9,2004.0
Boomerang ,5.4,1992.0
The Heat ,6.6,2013.0
Cleopatra ,7.0,1963.0
Here Comes the Boom ,6.5,2012.0
High Crimes ,6.3,2002.0
The Mirror Has Two Faces ,6.5,1996.0
The Mothman Prophecies ,6.5,2002.0
Brüno ,5.8,2009.0
Licence to Kill ,6.6,1989.0
Red Riding Hood ,5.4,2011.0
15 Minutes ,6.1,2001.0
Super Mario Bros. ,4.0,1993.0
Lord of War ,7.6,2005.0
Hero ,7.9,2002.0
One for the Money ,5.3,2012.0
The Interview ,6.6,2014.0
The Warrior's Way ,6.3,2010.0
McHale's Navy             ,7.5,
Micmacs ,7.2,2009.0
8 Mile ,7.0,2002.0
Animal Kingdom: Let's go Ape ,4.9,2015.0
A Knight's Tale ,6.9,2001.0
The Medallion ,5.2,2003.0
The Sixth Sense ,8.1,1999.0
Man on a Ledge ,6.6,2012.0
The Big Year ,6.2,2011.0
The Karate Kid ,7.2,1984.0
American Hustle ,7.3,2013.0
The Proposal ,6.7,2009.0
Double Jeopardy ,6.4,1999.0
Back to the Future Part II ,7.8,1989.0
Lucy ,6.4,2014.0
Fifty Shades of Grey ,4.1,2015.0
Spy Kids 3-D: Game Over ,4.1,2003.0
A Time to Kill ,7.4,1996.0
Cheaper by the Dozen ,5.8,2003.0
Lone Survivor ,7.6,2013.0
A League of Their Own ,7.2,1992.0
The Conjuring 2 ,7.8,2016.0
The Social Network ,7.7,2010.0
He's Just Not That Into You ,6.4,2009.0
Scary Movie 4 ,5.1,2006.0
Scream 3 ,5.5,2000.0
Back to the Future Part III ,7.4,1990.0
Get Hard ,6.0,2015.0
Bram Stoker's Dracula ,7.5,1992.0
Julie & Julia ,7.0,2009.0
42 ,7.5,2013.0
The Talented Mr. Ripley ,7.3,1999.0
Dumb and Dumber To ,5.7,2014.0
Eight Below ,7.3,2006.0
The Intern ,7.2,2015.0
Ride Along 2 ,5.9,2016.0
The Last of the Mohicans ,7.8,1992.0
Ray ,7.7,2004.0
Sin City ,8.1,2005.0
Vantage Point ,6.6,2008.0
"I Love You, Man ",7.1,2009.0
Shallow Hal ,5.9,2001.0
JFK ,8.0,1991.0
Big Momma's House 2 ,4.6,2006.0
The Mexican ,6.1,2001.0
Unbroken ,7.2,2014.0
17 Again ,6.4,2009.0
The Other Woman ,6.0,2014.0
The Final Destination ,5.2,2009.0
Bridge of Spies ,7.6,2015.0
Behind Enemy Lines ,6.4,2001.0
Get Him to the Greek ,6.4,2010.0
Shall We Dance ,6.1,2004.0
Small Soldiers ,6.1,1998.0
Spawn ,5.2,1997.0
The Count of Monte Cristo ,7.7,2002.0
The Lincoln Lawyer ,7.3,2011.0
Unknown ,6.9,2011.0
The Prestige ,8.5,2006.0
Horrible Bosses 2 ,6.3,2014.0
Escape from Planet Earth ,5.9,2013.0
Apocalypto ,7.8,2006.0
The Living Daylights ,6.7,1987.0
Predators ,6.4,2010.0
Legal Eagles ,5.9,1986.0
Secret Window ,6.6,2004.0
The Lake House ,6.8,2006.0
The Skeleton Key ,6.5,2005.0
The Odd Life of Timothy Green ,6.6,2012.0
Made of Honor ,5.8,2008.0
Jersey Boys ,6.9,2014.0
The Rainmaker ,7.1,1997.0
Gothika ,5.8,2003.0
Amistad ,7.2,1997.0
Medicine Man ,6.0,1992.0
Aliens vs. Predator: Requiem ,4.7,2007.0
Ri¢hie Ri¢h ,5.2,1994.0
Autumn in New York ,5.5,2000.0
Music and Lyrics ,6.5,2007.0
Paul ,7.0,2011.0
The Guilt Trip ,5.8,2012.0
Scream 4 ,6.2,2011.0
8MM ,6.5,1999.0
The Doors ,7.2,1991.0
Sex Tape ,5.1,2014.0
Hanging Up ,4.7,2000.0
Final Destination 5 ,5.9,2011.0
Mickey Blue Eyes ,5.8,1999.0
Pay It Forward ,7.2,2000.0
Fever Pitch ,6.2,2005.0
Arthur             ,7.4,
Drillbit Taylor ,5.7,2008.0
A Million Ways to Die in the West ,6.1,2014.0
The Shadow ,6.0,1994.0
Extremely Loud & Incredibly Close ,6.9,2011.0
Morning Glory ,6.5,2010.0
Get Rich or Die Tryin' ,5.0,2005.0
The Art of War ,5.7,2000.0
Rent ,7.0,2005.0
Bless the Child ,5.1,2000.0
The Out-of-Towners ,5.3,1999.0
The Island of Dr. Moreau ,4.4,1996.0
The Musketeer ,4.7,2001.0
The Other Boleyn Girl ,6.7,2008.0
Sweet November ,6.7,2001.0
The Reaping ,5.7,2007.0
Mean Streets ,7.4,1973.0
Renaissance Man ,6.1,1994.0
Colombiana ,6.4,2011.0
The Magic Sword: Quest for Camelot ,6.2,1998.0
City by the Sea ,6.2,2002.0
At First Sight ,5.9,1999.0
Torque ,4.0,2004.0
City Hall ,6.2,1996.0
Showgirls ,4.6,1995.0
Marie Antoinette ,6.4,2006.0
Kiss of Death ,5.9,1995.0
Get Carter ,5.1,2000.0
The Impossible ,7.6,2012.0
Ishtar ,4.2,1987.0
Fantastic Mr. Fox ,7.8,2009.0
Life or Something Like It ,5.8,2002.0
Memoirs of an Invisible Man ,5.9,1992.0
Amélie ,8.4,2001.0
New York Minute ,4.8,2004.0
Alfie ,6.2,2004.0
Big Miracle ,6.5,2012.0
The Deep End of the Ocean ,6.3,1999.0
Feardotcom ,3.3,2002.0
Cirque du Freak: The Vampire's Assistant ,5.9,2009.0
Victor Frankenstein ,6.0,2015.0
Duplex ,5.8,2003.0
Soul Men ,6.5,2008.0
Raise the Titanic ,4.7,1980.0
Universal Soldier: The Return ,4.1,1999.0
Pandorum ,6.8,2009.0
Impostor ,6.2,2001.0
Extreme Ops ,4.5,2002.0
Just Visiting ,5.8,2001.0
Sunshine ,7.3,2007.0
A Thousand Words ,5.9,2012.0
Delgo ,4.4,2008.0
The Gunman ,5.8,2015.0
Alex Rider: Operation Stormbreaker ,5.1,2006.0
Disturbia ,6.9,2007.0
Hackers ,6.2,1995.0
The Hunting Party ,6.9,2007.0
The Hudsucker Proxy ,7.3,1994.0
The Warlords ,7.1,2007.0
Nomad: The Warrior ,6.0,2005.0
Snowpiercer ,7.0,2013.0
A Monster in Paris ,6.8,2011.0
The Last Shot ,5.7,2004.0
The Crow ,7.6,1994.0
Baahubali: The Beginning ,8.4,2015.0
The Time Traveler's Wife ,7.1,2009.0
Because I Said So ,5.6,2007.0
The Fast and the Furious ,6.7,2001.0
Frankenweenie ,7.0,2012.0
Serenity ,8.0,2005.0
Against the Ropes ,5.3,2004.0
Superman III ,4.9,1983.0
Grudge Match ,6.4,2013.0
Red Cliff ,7.4,2008.0
Sweet Home Alabama ,6.1,2002.0
The Ugly Truth ,6.5,2009.0
Sgt. Bilko ,5.7,1996.0
Spy Kids 2: Island of Lost Dreams ,5.1,2002.0
Star Trek: Generations ,6.6,1994.0
The Grandmaster ,6.5,2013.0
Water for Elephants ,6.9,2011.0
3rd Rock from the Sun             ,7.8,
Dragon Nest: Warriors' Dawn ,6.4,2014.0
The Hurricane ,7.6,1999.0
Enough ,5.6,2002.0
Heartbreakers ,6.2,2001.0
Paul Blart: Mall Cop 2 ,4.4,2015.0
Angel Eyes ,5.6,2001.0
Joe Somebody ,5.5,2001.0
The Ninth Gate ,6.7,1999.0
Extreme Measures ,6.1,1996.0
Rock Star ,6.2,2001.0
Precious ,7.3,2009.0
White Squall ,6.6,1996.0
The Thing ,8.2,1982.0
Riddick ,6.4,2013.0
Switchback ,6.4,1997.0
Texas Rangers ,5.2,2001.0
City of Ember ,6.5,2008.0
The Master ,7.1,2012.0
Virgin Territory ,4.8,2007.0
The Express ,7.3,2008.0
The 5th Wave ,5.2,2016.0
Creed ,7.7,2015.0
The Town ,7.6,2010.0
What to Expect When You're Expecting ,5.7,2012.0
Burn After Reading ,7.0,2008.0
Nim's Island ,6.0,2008.0
Rush ,8.1,2013.0
Magnolia ,8.0,1999.0
Cop Out ,5.6,2010.0
How to Be Single ,6.1,2016.0
Dolphin Tale ,6.9,2011.0
Twilight ,5.2,2008.0
John Q ,7.0,2002.0
Blue Streak ,6.3,1999.0
We're the Millers ,7.0,2013.0
Obitaemyy ostrov ,5.3,2009.0
Breakdown ,6.9,1997.0
Never Say Never Again ,6.2,1983.0
Hot Tub Time Machine ,6.4,2010.0
Dolphin Tale 2 ,6.4,2014.0
Reindeer Games ,5.7,2000.0
A Man Apart ,6.1,2003.0
Aloha ,5.4,2015.0
Ghosts of Mississippi ,6.7,1996.0
Snow Falling on Cedars ,6.8,1999.0
The Rite ,6.0,2011.0
Gattaca ,7.8,1997.0
Isn't She Great ,5.3,2000.0
Space Chimps ,4.5,2008.0
Head of State ,5.4,2003.0
The Hangover ,7.8,2009.0
Ip Man 3 ,7.2,2015.0
Austin Powers: The Spy Who Shagged Me ,6.6,1999.0
Batman ,7.6,1989.0
There Be Dragons ,5.9,2011.0
Lethal Weapon 3 ,6.7,1992.0
The Blind Side ,7.7,2009.0
Rush Hour             ,5.8,
Spy Kids ,5.4,2001.0
Horrible Bosses ,6.9,2011.0
True Grit ,7.7,2010.0
The Devil Wears Prada ,6.8,2006.0
Star Trek: The Motion Picture ,6.4,1979.0
Identity Thief ,5.7,2013.0
Cape Fear ,7.3,1991.0
21 ,6.8,2008.0
Trainwreck ,6.3,2015.0
Guess Who ,5.9,2005.0
The English Patient ,7.4,1996.0
L.A. Confidential ,8.3,1997.0
Sky High ,6.2,2005.0
In & Out ,6.3,1997.0
Species ,5.8,1995.0
A Nightmare on Elm Street ,7.5,1984.0
The Cell ,6.3,2000.0
The Man in the Iron Mask ,6.4,1998.0
Secretariat ,7.2,2010.0
TMNT ,6.3,2007.0
Radio ,6.9,2003.0
Friends with Benefits ,6.6,2011.0
Neighbors 2: Sorority Rising ,6.0,2016.0
Saving Mr. Banks ,7.5,2013.0
Malcolm X ,7.7,1992.0
This Is 40 ,6.2,2012.0
Old Dogs ,5.4,2009.0
Underworld: Rise of the Lycans ,6.6,2009.0
License to Wed ,5.3,2007.0
The Benchwarmers ,5.6,2006.0
Must Love Dogs ,5.9,2005.0
Donnie Brasco ,7.8,1997.0
Resident Evil ,6.7,2002.0
Poltergeist ,7.4,1982.0
The Ladykillers ,6.2,2004.0
Max Payne ,5.4,2008.0
In Time ,6.7,2011.0
The Back-up Plan ,5.3,2010.0
Something Borrowed ,5.9,2011.0
Hit the Floor             ,7.0,
Black Knight ,4.8,2001.0
The Bad News Bears ,7.3,1976.0
Street Fighter ,3.8,1994.0
The Pianist ,8.5,2002.0
From Hell ,6.8,2001.0
The Nativity Story ,6.8,2006.0
House of Wax ,5.3,2005.0
Closer ,7.3,2004.0
J. Edgar ,6.6,2011.0
Mirrors ,6.2,2008.0
Queen of the Damned ,5.2,2002.0
Predator 2 ,6.2,1990.0
Untraceable ,6.2,2008.0
Blast from the Past ,6.6,1999.0
Flash Gordon ,6.4,1980.0
Jersey Girl ,6.2,2004.0
Alex Cross ,5.1,2012.0
Midnight in the Garden of Good and Evil ,6.6,1997.0
Heist ,6.1,2015.0
Nanny McPhee Returns ,6.1,2010.0
Hoffa ,6.6,1992.0
The X Files: I Want to Believe ,5.9,2008.0
Ella Enchanted ,6.3,2004.0
Concussion ,7.1,2015.0
Abduction ,5.0,2011.0
Valiant ,5.6,2005.0
Wonder Boys ,7.4,2000.0
Superhero Movie ,4.5,2008.0
Broken City ,6.2,2013.0
Cursed ,5.0,2005.0
Premium Rush ,6.5,2012.0
Hot Pursuit ,5.1,2015.0
The Four Feathers ,6.5,2002.0
Parker ,6.2,2013.0
Wimbledon ,6.3,2004.0
Furry Vengeance ,3.8,2010.0
Bait ,5.2,2012.0
Krull ,6.0,1983.0
Lions for Lambs ,6.2,2007.0
Flight of the Intruder ,5.7,1991.0
Walk Hard: The Dewey Cox Story ,6.7,2007.0
The Shipping News ,6.8,2001.0
American Outlaws ,6.0,2001.0
The Young Victoria ,7.3,2009.0
Whiteout ,5.5,2009.0
The Tree of Life ,6.7,2011.0
Knock Off ,4.8,1998.0
Sabotage ,5.7,2014.0
The Order ,5.1,2003.0
Punisher: War Zone ,6.0,2008.0
Zoom ,4.2,2006.0
The Walk ,7.4,2015.0
Warriors of Virtue ,4.6,1997.0
A Good Year ,6.9,2006.0
Luther             ,8.6,
Radio Flyer ,6.9,1992.0
"Blood In, Blood Out ",8.0,1993.0
